input file name	correct diagnosis source	correct diagnosis	gpt diagnosis	score (0-5)	Rank		Score (Peter)	Score (Justin)	Score (Daniel)	Range
PMID_33471980-phenopacket-based_query.txt	Manual paste-in	Pregnancy-associated myocardial infarction, probably due to spontaneous coronary-artery dissection.	Most likely diagnosis:   Peripartum cardiomyopathy  Differential Diagnosis (from most likely to least likely):  1. Peripartum cardiomyopathy 2. Viral myocarditis 3. Idiopathic dilated cardiomyopathy 4. Rheumatic heart disease 5. Congestive heart failure due to unrecognized congenital heart disease 6. Arrhythmogenic right ventricular cardiomyopathy/dysplasia 7. Systemic lupus erythematosus-induced cardiomyopathy 8. Sarcoidosis-induced cardiomyopathy 9. Thyroid-induced cardiac failure 10. Ischemic cardiomyopathy due to coronary artery embolism 11. Pulmonary hypertension due to unrecognized chronic lung disease.		1		4	3	4	3
PMID_33497551-phenopacket-based_query.txt	Manual paste-in	Mycobacterium tuberculosis meningitis	The following diagnostic test was ordered: Hemoglobin electrophoresis.  Most Likely Diagnosis: Amyloidosis, primary (AL)  Differential Diagnosis, from most likely to least likely: 1. Amyloidosis, primary (AL) 2. Congestive Heart Failure 3. Chronic Kidney Disease 4. Lung Cancer 5. Polycythemia Vera 6. Multiple Myeloma 7. Hemochromatosis 8. Pulmonary Tuberculosis 9. Hypothyroidism 10. Rheumatoid arthritis-associated interstitial lung disease 11. Chronic Obstructive Pulmonary Disorder (COPD) 12. Tubercular Pleural Effusion 13. Pneumococcal Pneumonia 14. Sarcoidosis 15. Systemic Lupus Erythematosus 16. Myasthenia Gravis 17. Parkinson's Disease 18. Lymphoma 19. Cirrhosis 20. Nephrotic Syndrome 21. Atypical pneumonia (Mycoplasma, Legionella) 22. Metastatic Cancer of unknown primary  23. Mitral Valve Disease 24. Pulmonary Hypertension  25. Vasculitis (weeping variant) 26. Goodpasture’s Syndrome 27. Gastrointestinal Stromal Tumor (GIST) 28. Primary Biliary Cirrhosis 29. Endocarditis 30. Diabetic Neuropathy causing autonomic dysfunctions.		-1		4	0	2	5
PMID_33503346-phenopacket-based_query.txt	Manual paste-in	Systemic primary amyloidosis.	Here is my response based on the provided case details:  Most Likely Diagnosis:  1. Paraneoplastic syndrome related to Breast Carcinoma presenting with Lambert-Eaton Myasthenic Syndrome (LEMS)  Differential Diagnosis Ranked by Probability:  1. Anti-Yo Paraneoplastic Encephalitis (a type of Paraneoplastic Neurological Syndrome) 2. Sjogren's syndrome with secondary fibromyalgia 3. Multiple Sclerosis Plexopathy 4. Giant Cell Arteritis 5. Antiphospholipid Syndrome 6. Subacute Cutaneous Lupus Erythematosus 7. Myasthenia Gravis 8. Polymyalgia Rheumatica 9. Fibromuscular Dysplasia 10. Rheumatoid Arthritis 11. Systemic Vasculitis.   I trust that the confirmatory tests will help validate these diagnoses.		-1		3	0	0	4
PMID_33567196-phenopacket-based_query.txt	Manual paste-in	Diffuse idiopathic pulmonary neuroendocrine cell hyperplasia.	The most likely diagnosis: Churg-Strauss Syndrome (eosinophilic granulomatosis with polyangiitis)  Differential diagnoses, listed from most likely to least likely:  1. Churg-Strauss Syndrome 2. Gastroesophageal reflux disease (GERD) with associated chronic bronchitis 3. Asthma 4. Allergic rhinitis and conjunctivitis with secondary infection 5. Chronic obstructive pulmonary disease (COPD) 6. Atopic dermatitis (cause of eczema) 7. Systemic lupus erythematosus (SLE, possible cause of positive antinuclear antibody test)  8. Sarcoidosis 9. Pulmonary fibrosis 10. Surreptitious diuretic use 11. Pneumoconiosis 12. Bronchiectasis 13. Hypereosinophilic syndrome.		-1		0	0	0	1
PMID_33596360-phenopacket-based_query.txt	Manual paste-in	Disseminated Mycobacterium bovis infection.	Most Likely Diagnosis: Non-Hodgkin's Lymphoma.  Differential Diagnoses: 1. Chronic lymphocytic leukemia 2. Multiple myeloma 3. Hodgkin's lymphoma 4. Acute myeloid leukemia 5. Liver cirrhosis secondary to alcoholic liver disease  6. Liver cirrhosis secondary to viral hepatitis 7. Gaucher's disease 8. Tuberculosis 9. Sarcoidosis 10. Metastatic cancer				0	0	3	3
PMID_33626257-phenopacket-based_query.txt	Manual paste-in	Lymphoplasmacytic lymphoma of the central nervous system (Bing–Neel syndrome).	Most likely diagnosis: Chronic Variable Immunodeficiency (CVID)  Differential diagnosis: 1. Chronic Variable Immunodeficiency (CVID) 2. Generalized anxiety disorder 3. Seasonal allergic rhinitis 4. Ocular pterygium 5. Post-concussion syndrome 6. Peripheral neuropathy 7. Food allergy leading to anaphylactic shock 8. Subclinical depression 9. Folate deficiency anaemia 10. Ocular migraine 11. Blepharoptosis due to ophthalmic nerve palsy 12. Ocular herpes zoster 13. Ptosis associated with myasthenia gravis 14. Subconjunctival hemorrhage due to high blood pressure  15. T-cell immunodeficiency 16. Post-traumatic stress disorder (PTSD)  17. Multiple Sclerosis (MS)  18. Essential thrombocythemia 19. Glaucoma 20. Secondary immunodeficiency due to medication 21. Chronic fatigue syndrome 22. Major depressive disorder  23. Subconjunctival hemorrhage due to eye injury  24. Subclinical hypothyroidism 25. Seasonal affective disorder  26. Alcoholism 27. Vitamin B deficiency neuropathy  28. Idiopathic intracranial hypertension  29. Dry eye syndrome  30. Episodic cluster headache  31. Subconjunctival hemorrhage related to anticoagulant treatment 32. Central serous retinopathy 33. Systemic lupus erythematosus (SLE) 34. Folic acid deficiency secondary to alcohol abuse 35. Pterygium induced by UV or wind exposure  36. Rare genetic disorders of the immune system.		-1		3	0	0	4
PMID_33704941-phenopacket-based_query.txt	Manual paste-in	Meningococcal purpura fulminans.	Based on the presented signs and symptoms, the most likely diagnosis:  Acute Respiratory Distress Syndrome (ARDS) secondary to Pneumonia (possibly bacterial in nature given the presence of chills and potential meningitis).  Differential Diagnosis, ranked by probability: 1. Acute Respiratory Distress Syndrome (ARDS) secondary to Pneumonia. 2. Chronic obstructive pulmonary disease (COPD) exacerbated by Pneumonia. 3. Congestive Heart Failure (CHF) with secondary Pulmonary Edema. 4. Severe Sepsis or Septic Shock, possibly due to Meningococcal Meningitis.  5. Viral illness such as severe Influenza or COVID-19. 6. Pulmonary Embolism (PE) with infarction. 7. Aspiration pneumonia due to alcoholism. 8. Myxedema coma due to severe Hypothyroidism. 9. Guillain-Barré Syndrome. 10. Systemic Lupus Erythematosus (SLE) with Lupus Nephritis. 11. Neuroleptic Malignant Syndrome (possible drug-induced). 12. Acute exposure to toxic substances or overdose.   The expected tests to confirm a diagnosis in this case administration would likely consist of a full blood profile (including a blood culture), chest x-ray, echocardiogram, pulmonary function test, thyroid function tests, and a spinal tap for potential bacterial meningitis. A consultation with a psychiatrist might also be beneficial given the presence of anxiety and depression.		-1		0	4	3	5
PMID_33730458-phenopacket-based_query.txt	Manual paste-in	Intrahepatic cholangiocarcinoma.	Most Likely Diagnosis:  Acute pancreatitis secondary to biliary obstruction due to cholangiocarcinoma.  Differential Diagnosis: 1. Acute pancreatitis secondary to biliary obstruction due to cholangiocarcinoma 2. Choledocholithiasis leading to acute cholecystitis or acute cholangitis 3. Acute cholecystitis related to cholangiocarcinoma 4. Cholangitis due to biliary obstruction from cholangiocarcinoma 5. Acute peritonitis secondary to perforated peptic ulcer causing acute abdomen and back pain 6. Acute renal colic due to urolithiasis causing back pain 7. Pyelonephritis or other renal pathology causing back pain 8. Spinal disc herniation causing acute back pain 9. Abdominal aortic aneurysm causing back pain 10. Malignant spinal cord compression due to metastasis of cholangiocarcinoma. 11. Pulmonary embolism, presenting with acute abdomen and back pain 12. Acute myocardial infarction, presenting atypically with acute abdomen and back pain.		1		0	4	5	5
PMID_33761211-phenopacket-based_query.txt	Manual paste-in	Pheochromocytoma	Most Likely Diagnosis: Pheochromocytoma (adrenal gland tumor)  Differential Diagnosis, from most likely to least likely:  1. Pheochromocytoma (adrenal gland tumor) 2. Renal artery stenosis leading to hypertension 3. Cluster headache syndrome 4. Acute glaucoma 5. Eclampsia 6. Hyperthyroidism including Grave's Disease 7. Cushing's syndrome 8. Adrenal cortex cancer 9. Congenital adrenal hyperplasia 10. Acute alcohol withdrawal 11. Quadriplegic upper extremity pains secondary to spasticity 12. Hypokalemic periodic paralysis 13. Panic disorder 14. Carcinoid syndrome 15. Renal parenchymal disease 16. Pheochromocytoma secondary to Von Hippel-Lindau disease 17. Malignant hypertension 18. Polycystic ovary syndrome 19. Essential hypertension 20. Neuroblastoma, particularly paraneoplastic syndrome.		1		4	5	5	4
PMID_33826823-phenopacket-based_query.txt	Manual paste-in	Normal pressure hydrocephalus.	Most Likely Diagnosis: Normal Pressure Hydrocephalus   Differential Diagnosis (ranked from most likely to least likely): 1. Normal Pressure Hydrocephalus  2. Cervical Myelopathy due to Spinal Canal Stenosis 3. Parkinson’s Disease (Parkinson's Plus Syndrome) 4. Multiple Sclerosis 5. Lewy Body Dementia 6. Cerebellar Ataxia 7. Alzheimer's Disease 8. Frontotemporal Dementia 9. Orthostatic Hypotension 10. Primary Progressive Multiple Sclerosis 11. Neurosyphilis 12. Binswanger's Disease 13. Multiple System Atrophy 14. Progressive Supranuclear Palsy 15. Wilson's Disease		1		5	5	5	4
