input file name	correct diagnosis source	correct diagnosis	gpt diagnosis	Score (0-5)	Rank	Rank (Peter)	Rank (Justin)		Score (Peter)	Score (Justin)	Score (Daniel)	Range
PMID_33471980-phenopacket-time-based_query.txt	Manual paste-in	Pregnancy-associated myocardial infarction, probably due to spontaneous coronary-artery dissection.	Most Likely Diagnosis:  Peripartum cardiomyopathy     Differential Diagnosis (ordered from most likely to least likely):  1. Peripartum cardiomyopathy  2. Ischemic cardiomyopathy (due to prolonged ventricular tachycardia)  3. Dilated cardiomyopathy (non-ischemic)  4. Arrhythmogenic right ventricular cardiomyopathy  5. Myocarditis (viral or autoimmune)  6. Hypertrophic cardiomyopathy  7. Pulmonary embolism leading to cardiac arrest  8. Acute rheumatic fever   9. Heart failure secondary to severe pre-eclampsia   10. Thyrotoxicosis causing high-output heart failure   11. Acute coronary syndrome secondary to aortic dissection.	3	1	1	1		3	3		0
PMID_33497551-phenopacket-time-based_query.txt	Manual paste-in	Mycobacterium tuberculosis meningitis	Most Likely Diagnosis: Congestive Heart Failure (CHF)     Differential Diagnosis, ranked by probability:     1. Congestive Heart Failure (CHF)   2. Chronic Obstructive Pulmonary Disease (COPD)   3. Acute Respiratory Distress Syndrome (ARDS)   4. Pulmonary Edema   5. Pulmonary Embolism  6. Pneumothorax  7. Pleurisy  8. Tuberculosis  9. Lung Cancer  10. Pulmonary Fibrosis  11. Pneumonitis  12. Systemic Lupus Erythematosus with Lupus Pneumonitis  13. Sarcoidosis  14. Chronic Kidney disease  15. Myasthenia Gravis  16. Polymyositis  17. Chronic Fatigue Syndrome  18. Pick's Disease (Frontotemporal Dementia)  19. Normal Pressure Hydrocephalus  20. Vascular Dementia.	3	8	8	8		4	3		1
PMID_33503346-phenopacket-time-based_query.txt	Manual paste-in	Systemic primary amyloidosis.	Most likely diagnosis: Paraneoplastic syndrome secondary to breast carcinoma     Differential Diagnoses:  1. Paraneoplastic syndrome secondary to breast carcinoma  2. Antiphospholipid syndrome  3. Rewarming Syndrome  4. Amaurosis fugax due to transient ischemic attack (TIA)  5. Giant cell arteritis  6. Temporal arteritis  7. Carcinoid syndrome  8. Secondary polycythemia  9. Temporomandibular joint dysfunction (TMJ)  10. Myasthenia gravis  11. Lambert-Eaton Syndrome  12. Microvascular ischemia due to diabetes  13. Ocular myasthenia  14. Motor neuron disease such as ALS  15. Pituitary adenoma  16. Brain tumor  17. Multiple sclerosis  18. Chronic fatigue syndrome  19. Hemolytic anemia  20. Chronic leukemia  21. Anorexia nervosa  22. Malabsorption syndrome- celiac disease  23. Side effect of chemotherapy (for breast carcinoma)  24. Late-stage Hodgkin's disease  25. Basilar migraine  26. Mitochondrial diseases- such as mitochondrial myopathy and mitochondrial DNA depletion syndrome  27. Migraine with Aura  28. Neurosarcoidosis  29. Post-Viral Fatigue Syndrome  30. Vasculitis of the nervous system  31. Cardiovascular event, such as a stroke  32. Neurological side effects of medications.	0	-1	-1	28		0	2		2
PMID_33567196-phenopacket-time-based_query.txt	Manual paste-in	Diffuse idiopathic pulmonary neuroendocrine cell hyperplasia.	Most Likely Diagnosis:  Chronic Obstructive Pulmonary Disease (COPD) exacerbation     Differential Diagnoses:   1. Interstitial Lung Disease secondary to connective tissue disease  2. Asthma exacerbation  3. Bronchiectasis  4. Pulmonary Fibrosis  5. Chronic Bronchitis  6. Allergic bronchopulmonary aspergillosis  7. Pneumonia  8. Congestive Heart Failure  9. Pulmonary embolism  10. Lung malignancy  11. Hypersensitivity pneumonitis  12. Pulmonary Tuberculosis  13. Cystic Fibrosis (rare in this age group)  14. Alpha-1 Antitrypsin Deficiency-related COPD  15. Gastroesophageal Reflux Disease-related aspiration pneumonia  16. Sarcoidosis  17. Wegener's Granulomatosis (Granulomatosis with Polyangiitis)  18. Churg-Strauss Syndrome (Eosinophilic Granulomatosis with Polyangiitis)  19. Occupational Lung Disease, such as Silicosis or Asbestosis  20. Drug-induced interstitial lung disease.	0	-1	-1	-1		0	0		0
PMID_33596360-phenopacket-time-based_query.txt	Manual paste-in	Disseminated Mycobacterium bovis infection.	Most likely diagnosis: Systemic lupus erythematosus (SLE)     Differential diagnosis:  1. Systemic lupus erythematosus (SLE)  2. Lymphoma   3. HIV or AIDS related lymphadenopathy   4. Chronic lymphocytic leukemia (CLL)  5. Sarcoidosis  6. Multiple myeloma   7. Wegener's granulomatosis   8. Amyloidosis   9. Non-Hodgkin's lymphoma   10. Hodgkin's lymphoma  11. Felty's syndrome  12. Infectious mononucleosis  13. Tuberculosis  14. Autoimmune hemolytic anemia  15. Endocarditis	0	-1	-1	-1		0	0		0
PMID_33626257-phenopacket-time-based_query.txt	Manual paste-in	Lymphoplasmacytic lymphoma of the central nervous system (Bing–Neel syndrome).	Most Likely Diagnosis:  1. Sjogren's Syndrome     Differential Diagnosis (ranked from most to least likely):  1. Giant Cell Arteritis  2. Cogan's Syndrome  3. Graves' Disease  4. Vasculitis (e.g., Polyarteritis Nodosa)  5. Neurological disorders such as Multiple Sclerosis  6. Lyme Disease   7. Temporal Arteritis  8. Blepharitis   9. Keratoconjunctivitis  10. Ocular Herpes   11. Optic Neuritis   12. Acute Angle-Closure Glaucoma  13. Secondary Glaucoma due to Uveitis	0	-1	-1	-1		0	0		0
PMID_33704941-phenopacket-time-based_query.txt	Manual paste-in	Meningococcal purpura fulminans.	The most likely diagnosis: Meningococcal meningitis     Differential Diagnoses:  1. Meningococcal meningitis  2. Bacterial sepsis (e.g. Streptococcus pneumoniae, Haemophilus influenzae)  3. Toxic shock syndrome  4. Viral meningitis (e.g. Enterovirus, Herpes simplex virus)  5. Lupus with neuropsychiatric manifestations  6. Lyme disease  7. Guillain-Barre syndrome  8. Rocky Mountain spotted fever  9. Acute disseminated encephalomyelitis (ADEM)  10. Mycoplasma pneumoniae infection  11. Subacute thyroiditis causing Hypothyroidism  12. Secondary Hemophagocytic lymphohistiocytosis (HLH)  13. Kawasaki disease  14. Infective endocarditis  15. Dengue fever.	4	1	1	1		4	4		0
PMID_33761211-phenopacket-time-based_query.txt	Manual paste-in	Pheochromocytoma	Most likely diagnosis:   Pheochromocytoma     Differential diagnoses:   1. Pheochromocytoma  2. Secondary hypertension due to renal parenchymal disease  3. Cushing's syndrome    4. Brain tumor  5. Meningitis   6. Hyperthyroidism  7. Acute porphyria   8. Alcohol withdrawal syndrome  9. Chronic Kidney Disease  10. Cluster headaches  11. Intracranial hypertension.	5	1	1	1		5	5		0
PMID_33826823-phenopacket-time-based_query.txt	Manual paste-in	Normal pressure hydrocephalus.	Most Likely Diagnosis:   Neurodegenerative disease, possibly Parkinson's Disease with dementia     Differential Diagnosis:  1. Parkinson's Disease with dementia  2. Normal Pressure Hydrocephalus  3. Multiple System Atrophy (MSA)  4. Alzheimer's disease   5. Lewy Body Dementia  6. Progressive Supranuclear Palsy  7. Cerebral Small Vessel Disease  8. Primary Progressive MS  9. Chronic Traumatic Encephalopathy  10. Binswanger's disease  11. Vascular dementia   12. Huntington's disease  13. FTD Parkinsonism  14. Creutzfeldt-Jakob disease  15. Vitamin B12 deficiency related subacute combined degeneration of the spinal cord.	5	2	2	2		5	5		0
PMID_33852783-phenopacket-time-based_query.txt	Manual paste-in	Bartonella henselae infection (cat scratch disease).	Most Likely Diagnosis: Tuberculosis (extrapulmonary, involving lymph nodes and kidney)     Differential Diagnosis:  1. Tuberculosis (extrapulmonary, involving lymph nodes and kidney)  2. Brucellosis  3. Systemic lupus erythematosus with secondary infection  4. Collagen vascular disease with secondary infection  5. HIV with secondary infection  6. Sarcoidosis with secondary infection  7. Secondary syphilis  8. Disseminated gonococcal infection  9. Infectious mononucleosis  10. Lymphoma  11. Inflammatory bowel disease with secondary infection  12. Postinfectious glomerulonephritis  13. IgA nephropathy with secondary infection  14. Lyme disease  15. Infective endocarditis	0	1	1	-1		0	0		0
